module,num_params,percent
conv_after_body,291780,2.06
layers.3.swin5.attn.qkv,285516,2.02
layers.0.swin5.attn.qkv,285516,2.02
layers.5.swin5.attn.qkv,285516,2.02
layers.1.swin5.attn.qkv,285516,2.02
layers.4.swin5.attn.qkv,285516,2.02
layers.2.swin5.attn.qkv,285516,2.02
layers.1.swin4.attn.qkv,229356,1.62
layers.2.swin4.attn.qkv,229356,1.62
layers.3.swin4.attn.qkv,229356,1.62
layers.4.swin4.attn.qkv,229356,1.62
layers.5.swin4.attn.qkv,229356,1.62
layers.0.swin4.attn.qkv,229356,1.62
layers.0.swin3.attn.qkv,179340,1.27
layers.3.swin3.attn.qkv,179340,1.27
layers.4.swin3.attn.qkv,179340,1.27
layers.2.swin3.attn.qkv,179340,1.27
layers.5.swin3.attn.qkv,179340,1.27
layers.1.swin3.attn.qkv,179340,1.27
upsample.0,147712,1.04
upsample.2,147712,1.04
layers.1.swin2.attn.qkv,135468,0.96
layers.4.swin2.attn.qkv,135468,0.96
layers.2.swin2.attn.qkv,135468,0.96
layers.5.swin2.attn.qkv,135468,0.96
layers.3.swin2.attn.qkv,135468,0.96
layers.0.swin2.attn.qkv,135468,0.96
layers.2.swin3.mlp.fc1,119560,0.85
layers.0.swin3.mlp.fc1,119560,0.85
layers.1.swin3.mlp.fc1,119560,0.85
layers.5.swin3.mlp.fc1,119560,0.85
layers.4.swin3.mlp.fc1,119560,0.85
layers.3.swin3.mlp.fc1,119560,0.85
layers.5.swin3.mlp.fc2,119316,0.84
layers.4.swin3.mlp.fc2,119316,0.84
layers.1.swin3.mlp.fc2,119316,0.84
layers.3.swin3.mlp.fc2,119316,0.84
layers.2.swin3.mlp.fc2,119316,0.84
layers.0.swin3.mlp.fc2,119316,0.84
conv_before_upsample.0,103744,0.73
layers.4.swin1.attn.qkv,97740,0.69
layers.0.swin1.attn.qkv,97740,0.69
layers.2.swin1.attn.qkv,97740,0.69
layers.3.swin1.attn.qkv,97740,0.69
layers.1.swin1.attn.qkv,97740,0.69
layers.5.swin1.attn.qkv,97740,0.69
layers.5.swin5.mlp.fc2,95172,0.67
layers.3.swin5.mlp.fc1,95172,0.67
layers.2.swin5.attn.proj,95172,0.67
layers.1.swin5.mlp.fc2,95172,0.67
layers.2.swin5.mlp.fc1,95172,0.67
layers.5.swin5.attn.proj,95172,0.67
layers.3.swin5.attn.proj,95172,0.67
layers.1.swin5.attn.proj,95172,0.67
layers.5.swin5.mlp.fc1,95172,0.67
layers.1.swin5.mlp.fc1,95172,0.67
layers.2.swin5.mlp.fc2,95172,0.67
layers.3.swin5.mlp.fc2,95172,0.67
layers.4.swin5.attn.proj,95172,0.67
layers.4.swin5.mlp.fc2,95172,0.67
layers.0.swin5.attn.proj,95172,0.67
layers.0.swin5.mlp.fc2,95172,0.67
layers.4.swin5.mlp.fc1,95172,0.67
layers.0.swin5.mlp.fc1,95172,0.67
layers.4.swin2.mlp.fc1,90312,0.64
layers.2.swin2.mlp.fc1,90312,0.64
layers.5.swin2.mlp.fc1,90312,0.64
layers.0.swin2.mlp.fc1,90312,0.64
layers.3.swin2.mlp.fc1,90312,0.64
layers.1.swin2.mlp.fc1,90312,0.64
layers.5.swin2.mlp.fc2,90100,0.64
layers.0.swin2.mlp.fc2,90100,0.64
layers.3.swin2.mlp.fc2,90100,0.64
layers.1.swin2.mlp.fc2,90100,0.64
layers.4.swin2.mlp.fc2,90100,0.64
layers.2.swin2.mlp.fc2,90100,0.64
layers.4.swin4.mlp.fc2,76452,0.54
layers.5.swin4.mlp.fc1,76452,0.54
layers.4.swin4.attn.proj,76452,0.54
layers.4.swin4.mlp.fc1,76452,0.54
layers.0.swin4.attn.proj,76452,0.54
layers.3.swin4.mlp.fc2,76452,0.54
layers.0.swin4.mlp.fc1,76452,0.54
layers.2.swin4.mlp.fc2,76452,0.54
layers.0.swin4.mlp.fc2,76452,0.54
layers.2.swin4.mlp.fc1,76452,0.54
layers.1.swin4.mlp.fc2,76452,0.54
layers.5.swin4.mlp.fc2,76452,0.54
layers.3.swin4.mlp.fc1,76452,0.54
layers.1.swin4.attn.proj,76452,0.54
layers.5.swin4.attn.proj,76452,0.54
layers.3.swin4.attn.proj,76452,0.54
layers.1.swin4.mlp.fc1,76452,0.54
layers.2.swin4.attn.proj,76452,0.54
layers.5.swin1.mlp.fc1,65160,0.46
layers.3.swin1.mlp.fc1,65160,0.46
layers.2.swin1.mlp.fc1,65160,0.46
layers.1.swin1.mlp.fc1,65160,0.46
layers.0.swin1.mlp.fc1,65160,0.46
layers.4.swin1.mlp.fc1,65160,0.46
layers.0.swin1.mlp.fc2,64980,0.46
layers.4.swin1.mlp.fc2,64980,0.46
layers.5.swin1.mlp.fc2,64980,0.46
layers.2.swin1.mlp.fc2,64980,0.46
layers.3.swin1.mlp.fc2,64980,0.46
layers.1.swin1.mlp.fc2,64980,0.46
layers.4.swin3.attn.proj,59780,0.42
layers.3.swin3.attn.proj,59780,0.42
layers.5.swin3.attn.proj,59780,0.42
layers.0.swin3.attn.proj,59780,0.42
layers.2.swin3.attn.proj,59780,0.42
layers.1.swin3.attn.proj,59780,0.42
layers.0.adjust5,55620,0.39
layers.2.adjust5,55620,0.39
layers.4.adjust5,55620,0.39
layers.5.adjust5,55620,0.39
layers.1.adjust5,55620,0.39
layers.3.adjust5,55620,0.39
layers.0.swin2.attn.proj,45156,0.32
layers.3.swin2.attn.proj,45156,0.32
layers.1.swin2.attn.proj,45156,0.32
layers.2.swin2.attn.proj,45156,0.32
layers.4.swin2.attn.proj,45156,0.32
layers.5.swin2.attn.proj,45156,0.32
layers.1.swin1.attn.proj,32580,0.23
layers.4.swin1.attn.proj,32580,0.23
layers.2.swin1.attn.proj,32580,0.23
layers.0.swin1.attn.proj,32580,0.23
layers.3.swin1.attn.proj,32580,0.23
layers.5.swin1.attn.proj,32580,0.23
layers.0.adjust4,8864,0.06
layers.3.adjust4,8864,0.06
layers.4.adjust4,8864,0.06
layers.1.adjust4,8864,0.06
layers.2.adjust4,8864,0.06
layers.5.adjust4,8864,0.06
layers.4.adjust3,7840,0.06
layers.5.adjust3,7840,0.06
layers.0.adjust3,7840,0.06
layers.2.adjust3,7840,0.06
layers.3.adjust3,7840,0.06
layers.1.adjust3,7840,0.06
layers.2.adjust2,6816,0.05
layers.5.adjust2,6816,0.05
layers.1.adjust2,6816,0.05
layers.3.adjust2,6816,0.05
layers.0.adjust2,6816,0.05
layers.4.adjust2,6816,0.05
layers.5.adjust1,5792,0.04
layers.1.adjust1,5792,0.04
layers.4.adjust1,5792,0.04
layers.3.adjust1,5792,0.04
layers.0.adjust1,5792,0.04
layers.2.adjust1,5792,0.04
layers.2.swin1.attn,5766,0.04
layers.2.swin4.attn,5766,0.04
layers.5.swin4.attn,5766,0.04
layers.1.swin1.attn,5766,0.04
layers.4.swin1.attn,5766,0.04
layers.1.swin4.attn,5766,0.04
layers.4.swin4.attn,5766,0.04
layers.3.swin1.attn,5766,0.04
layers.3.swin4.attn,5766,0.04
layers.0.swin1.attn,5766,0.04
layers.5.swin1.attn,5766,0.04
layers.0.swin4.attn,5766,0.04
conv_first,5040,0.04
layers.4.swin5.attn,3844,0.03
layers.2.swin2.attn,3844,0.03
layers.4.swin2.attn,3844,0.03
layers.0.swin5.attn,3844,0.03
layers.3.swin2.attn,3844,0.03
layers.5.swin5.attn,3844,0.03
layers.2.swin5.attn,3844,0.03
layers.5.swin2.attn,3844,0.03
layers.1.swin2.attn,3844,0.03
layers.0.swin2.attn,3844,0.03
layers.3.swin5.attn,3844,0.03
layers.1.swin5.attn,3844,0.03
layers.0.swin3.attn,1922,0.01
layers.3.swin3.attn,1922,0.01
layers.2.swin3.attn,1922,0.01
layers.4.swin3.attn,1922,0.01
layers.1.swin3.attn,1922,0.01
layers.5.swin3.attn,1922,0.01
conv_last,1731,0.01
layers.1.swin5.norm2,616,0.0
layers.2.swin5.norm2,616,0.0
layers.4.swin5.norm2,616,0.0
layers.4.swin5.norm1,616,0.0
layers.0.swin5.norm1,616,0.0
layers.0.swin5.norm2,616,0.0
layers.3.swin5.norm1,616,0.0
layers.2.swin5.norm1,616,0.0
layers.3.swin5.norm2,616,0.0
layers.5.swin5.norm2,616,0.0
layers.1.swin5.norm1,616,0.0
layers.5.swin5.norm1,616,0.0
layers.5.swin4.norm2,552,0.0
layers.5.swin4.norm1,552,0.0
layers.3.swin4.norm1,552,0.0
layers.0.swin4.norm1,552,0.0
layers.0.swin4.norm2,552,0.0
layers.2.swin4.norm1,552,0.0
layers.3.swin4.norm2,552,0.0
layers.4.swin4.norm1,552,0.0
layers.2.swin4.norm2,552,0.0
layers.1.swin4.norm2,552,0.0
layers.1.swin4.norm1,552,0.0
layers.4.swin4.norm2,552,0.0
