param_name,module,shape,num_params,trainable
conv_first.weight,conv_first,"[180, 3, 3, 3]",4860,True
conv_first.bias,conv_first,[180],180,True
patch_embed.norm.weight,patch_embed.norm,[180],180,True
patch_embed.norm.bias,patch_embed.norm,[180],180,True
layers.0.swin1.norm1.weight,layers.0.swin1.norm1,[180],180,True
layers.0.swin1.norm1.bias,layers.0.swin1.norm1,[180],180,True
layers.0.swin1.attn.relative_position_bias_table,layers.0.swin1.attn,"[961, 6]",5766,True
layers.0.swin1.attn.qkv.weight,layers.0.swin1.attn.qkv,"[540, 180]",97200,True
layers.0.swin1.attn.qkv.bias,layers.0.swin1.attn.qkv,[540],540,True
layers.0.swin1.attn.proj.weight,layers.0.swin1.attn.proj,"[180, 180]",32400,True
layers.0.swin1.attn.proj.bias,layers.0.swin1.attn.proj,[180],180,True
layers.0.swin1.norm2.weight,layers.0.swin1.norm2,[180],180,True
layers.0.swin1.norm2.bias,layers.0.swin1.norm2,[180],180,True
layers.0.swin1.mlp.fc1.weight,layers.0.swin1.mlp.fc1,"[360, 180]",64800,True
layers.0.swin1.mlp.fc1.bias,layers.0.swin1.mlp.fc1,[360],360,True
layers.0.swin1.mlp.fc2.weight,layers.0.swin1.mlp.fc2,"[180, 360]",64800,True
layers.0.swin1.mlp.fc2.bias,layers.0.swin1.mlp.fc2,[180],180,True
layers.0.adjust1.weight,layers.0.adjust1,"[32, 180, 1, 1]",5760,True
layers.0.adjust1.bias,layers.0.adjust1,[32],32,True
layers.0.swin2.norm1.weight,layers.0.swin2.norm1,[212],212,True
layers.0.swin2.norm1.bias,layers.0.swin2.norm1,[212],212,True
layers.0.swin2.attn.relative_position_bias_table,layers.0.swin2.attn,"[961, 4]",3844,True
layers.0.swin2.attn.qkv.weight,layers.0.swin2.attn.qkv,"[636, 212]",134832,True
layers.0.swin2.attn.qkv.bias,layers.0.swin2.attn.qkv,[636],636,True
layers.0.swin2.attn.proj.weight,layers.0.swin2.attn.proj,"[212, 212]",44944,True
layers.0.swin2.attn.proj.bias,layers.0.swin2.attn.proj,[212],212,True
layers.0.swin2.norm2.weight,layers.0.swin2.norm2,[212],212,True
layers.0.swin2.norm2.bias,layers.0.swin2.norm2,[212],212,True
layers.0.swin2.mlp.fc1.weight,layers.0.swin2.mlp.fc1,"[424, 212]",89888,True
layers.0.swin2.mlp.fc1.bias,layers.0.swin2.mlp.fc1,[424],424,True
layers.0.swin2.mlp.fc2.weight,layers.0.swin2.mlp.fc2,"[212, 424]",89888,True
layers.0.swin2.mlp.fc2.bias,layers.0.swin2.mlp.fc2,[212],212,True
layers.0.adjust2.weight,layers.0.adjust2,"[32, 212, 1, 1]",6784,True
layers.0.adjust2.bias,layers.0.adjust2,[32],32,True
layers.0.swin3.norm1.weight,layers.0.swin3.norm1,[244],244,True
layers.0.swin3.norm1.bias,layers.0.swin3.norm1,[244],244,True
layers.0.swin3.attn.relative_position_bias_table,layers.0.swin3.attn,"[961, 2]",1922,True
layers.0.swin3.attn.qkv.weight,layers.0.swin3.attn.qkv,"[732, 244]",178608,True
layers.0.swin3.attn.qkv.bias,layers.0.swin3.attn.qkv,[732],732,True
layers.0.swin3.attn.proj.weight,layers.0.swin3.attn.proj,"[244, 244]",59536,True
layers.0.swin3.attn.proj.bias,layers.0.swin3.attn.proj,[244],244,True
layers.0.swin3.norm2.weight,layers.0.swin3.norm2,[244],244,True
layers.0.swin3.norm2.bias,layers.0.swin3.norm2,[244],244,True
layers.0.swin3.mlp.fc1.weight,layers.0.swin3.mlp.fc1,"[488, 244]",119072,True
layers.0.swin3.mlp.fc1.bias,layers.0.swin3.mlp.fc1,[488],488,True
